cases,week,cases_JHU,hospitalizations,stringency,deaths,median_age_deaths
0,2020-01-25,0,0,0,0,NA
0,2020-02-01,0,0,0,0,NA
0,2020-02-08,0,0,0,0,NA
0,2020-02-15,0,0,0,0,NA
0,2020-02-22,0,0,0,0,NA
0,2020-02-29,0,0,2.380952286,0,NA
0,2020-03-07,14,0,8.333333,0,NA
15,2020-03-14,59,0.285714286,29.41137457,0,NA
75,2020-03-21,120,1.428571429,59.351849,0,NA
117,2020-03-28,180,4.142857143,59.66931129,0,NA
200,2020-04-04,206,8.571428571,61.27645686,2,NA
199,2020-04-11,248,9.571428571,63.65741,5,NA
244,2020-04-18,120,10.85714286,63.65741,15,NA
109,2020-04-25,60,11.28571429,63.65741,9,NA
49,2020-05-02,19,6,63.65741,16,NA
26,2020-05-09,20,8.714285714,63.26058386,8,NA
13,2020-05-16,9,8.285714286,60.879627,3,NA
8,2020-05-23,3,6.857142857,60.58200871,2,NA
3,2020-05-30,3,4.857142857,58.99470786,1,NA
3,2020-06-06,0,2.571428571,56.88657,1,NA
0,2020-06-13,0,2,55.23478714,0,NA
0,2020-06-20,3,1.857142857,51.97420829,1,NA
3,2020-06-27,2,2,50.13889071,0,NA
2,2020-07-04,1,1.571428571,47.534725,0,NA
1,2020-07-11,0,0.714285714,47.534725,0,NA
0,2020-07-18,0,0,47.534725,0,NA
2,2020-07-25,4,0,46.93948614,1,NA
2,2020-08-01,0,0,43.368053,0,NA
1,2020-08-08,6,0,43.368053,0,NA
5,2020-08-15,4,0.285714286,43.368053,0,NA
6,2020-08-22,4,0.142857143,42.65376729,1,NA
2,2020-08-29,1,0,42.118053,0,NA
1,2020-09-05,0,0,40.13392586,0,NA
0,2020-09-12,1,0,39.340275,0,NA
1,2020-09-19,1,0.571428571,39.340275,0,NA
2,2020-09-26,1,1,40.99206129,0,NA
0,2020-10-03,3,1,43.194443,0,NA
4,2020-10-10,5,0.857142857,43.194443,0,NA
4,2020-10-17,5,0,43.194443,0,NA
7,2020-10-24,17,0,43.194443,0,NA
17,2020-10-31,15,0,43.194443,0,NA
15,2020-11-07,21,0,43.194443,0,NA
24,2020-11-14,102,0.142857143,45.37698329,0,NA
106,2020-11-21,86,0.142857143,54.37500014,0,NA
92,2020-11-28,50,0,56.006943,0,NA
44,2020-12-05,43,0,56.006943,0,NA
39,2020-12-12,29,0,52.67361043,0,NA
24,2020-12-19,21,0,51.01686557,0,NA
21,2020-12-26,37,0.571428571,51.388889,0,NA
39,2021-01-02,25,0.428571429,51.98412586,0,NA
25,2021-01-09,17,0,50.89285571,0,NA
20,2021-01-16,11,0,50.694443,0,NA
7,2021-01-23,8,0.285714286,50.694443,0,NA
7,2021-01-30,6,2,50.694443,0,NA
6,2021-02-06,12,1,47.12301329,0,NA
14,2021-02-13,22,1,46.527775,0,NA
30,2021-02-20,25,1,47.07341071,0,NA
17,2021-02-27,16,3.142857143,49.553573,0,NA
15,2021-03-06,12,1.571428571,47.569443,0,NA
14,2021-03-13,22,1,46.97420471,1,NA
24,2021-03-20,20,0,43.402775,0,NA
24,2021-03-27,35,0.857142857,43.402775,0,NA
28,2021-04-03,32,1,43.402775,0,NA
36,2021-04-10,108,2.714285714,43.402775,1,NA
146,2021-04-17,466,2.571428571,48.56150557,0,NA
489,2021-04-24,1004,10.42857143,67.11309657,0,NA
1164,2021-05-01,1043,37.57142857,70.01488143,4,NA
933,2021-05-08,658,66.85714286,73.18947886,0,NA
625,2021-05-15,392,94,73.321754,6,NA
348,2021-05-22,161,65.57142857,73.321754,7,NA
136,2021-05-29,103,33.71428571,66.04001171,4,NA
96,2021-06-05,52,16,60.578705,1,1
55,2021-06-12,25,7,56.51124386,1,NA
30,2021-06-19,42,3.571428571,53.460648,2,NA
28,2021-06-26,24,2.142857143,51.65013257,0,NA
23,2021-07-03,6,1.857142857,50.162037,0,NA
5,2021-07-10,10,2.142857143,49.20965757,0,NA
12,2021-07-17,6,1.142857143,48.495373,1,NA
5,2021-07-24,13,0.142857143,48.495373,0,NA
13,2021-07-31,19,1,48.495373,0,NA
20,2021-08-07,28,1,48.495373,0,NA
36,2021-08-14,44,1,48.495373,0,NA
43,2021-08-21,52,0.428571429,48.495373,1,NA
48,2021-08-28,65,0,48.495373,0,NA
70,2021-09-04,187,0.714285714,48.495373,0,NA
195,2021-09-11,158,3.428571429,48.495373,0,NA
174,2021-09-18,186,9.142857143,48.495373,1,NA
229,2021-09-25,255,12.42857143,48.495373,2,NA
203,2021-10-02,166,14.42857143,42.24537186,1,NA
159,2021-10-09,126,14.57142857,41.203705,0,NA
131,2021-10-16,143,14.71428571,42.19576857,0,NA
146,2021-10-23,184,11.57142857,40.60846686,2,NA
196,2021-10-30,234,9.142857143,39.814816,1,NA
265,2021-11-06,239,9.571428571,39.814816,1,NA
197,2021-11-13,156,14.42857143,40.70767257,3,NA
157,2021-11-20,221,16.14285714,41.898148,3,NA
212,2021-11-27,170,13.57142857,41.898148,2,NA
210,2021-12-04,1069,10.85714286,41.898148,0,NA
1340,2021-12-11,3529,6.714285714,44.398148,0,79
3746,2021-12-18,3997,10.14285714,53.42592514,1,79
4004,2021-12-25,5393,19.85714286,55.509258,0,79
6198,2022-01-01,5674,40.71428571,55.509258,1,79
4539,2022-01-08,4193,56.28571429,55.509258,5,79
4057,2022-01-15,3502,76.28571429,51.34259229,11,79
3191,2022-01-22,2839,89,50.648148,15,79
2848,2022-01-29,2623,93.57142857,50.648148,15,79
2382,2022-02-05,1913,91.71428571,50.20172057,10,79
1721,2022-02-12,1287,70.71428571,39.224536,18,79
1082,2022-02-19,1823,51.42857143,37.407406,5,79
2181,2022-02-26,715,45.28571429,37.407406,20,79
1382,2022-03-05,1382,46.42857143,37.05026543,5,79
4131,2022-03-12,2888,50,36.990742,15,79
-678,2022-03-19,3453,47.71428571,25.91931229,13,79
4188,2022-03-26,4188,44.57142857,24.074074,10,79
11122,2022-04-02,13903,51,24.074074,8,79
6912,2022-04-09,6912,53.28571429,24.074074,14,80
7508,2022-04-16,7508,60.42857143,24.074074,13,80
5436,2022-04-23,5436,64.57142857,24.074074,24,80
3415,2022-04-30,3415,66,24.074074,22,81
3118,2022-05-07,3118,66,24.074074,18,81
2513,2022-05-14,2513,66,24.074074,24,81
1584,2022-05-21,1584,66,24.074074,13,81
1563,2022-05-28,1563,56.28571429,24.074074,9,81
1474,2022-06-04,3950,33.14285714,24.074074,21,81
1950,2022-06-11,1571,32.85714286,24.074074,10,81
1420,2022-06-18,1471,25,24.074074,7,81
1491,2022-06-25,1675,25,24.074074,4,83
1749,2022-07-02,1749,29.28571429,24.074074,9,83
1418,2022-07-09,1418,31,24.074074,5,83
3644,2022-07-16,3644,34.71428571,24.074074,7,83
1900,2022-07-23,1900,67,24.074074,5,83
1748,2022-07-30,1748,62,24.074074,0,83
1725,2022-08-06,1725,54,24.074074,5,83
1529,2022-08-13,1529,47,24.074074,11,83
1384,2022-08-20,1384,55,24.074074,8,83
1325,2022-08-27,1325,45,24.074074,5,83
1078,2022-09-03,1078,36,24.074074,10,83
1091,2022-09-10,1091,47,24.074074,15,83
962,2022-09-17,962,58,24.074074,12,83
963,2022-09-24,963,70,24.074074,10,83
1124,2022-10-01,1124,66,24.074074,0,83
1010,2022-10-08,1010,64,24.074074,11,NA
1106,2022-10-15,1106,60,24.074074,17,NA
991,2022-10-22,991,53,24.074074,16,NA